Boro-Block-Lot,Scaled Ratiness,BBLID
1-00766-7502,#DIV/0!,1007667502
1-00766-7503,#DIV/0!,1007667503
1-00766-7504,0.066666667,1007667504
1-00767-7502,0.066666667,1007677502
1-00767-7503,0.066666667,1007677503
1-00767-7504,0.066666667,1007677504
1-00768-0059,0.066666667,1007680059
1-00768-7501,0.066666667,1007687501
1-00768-7502,0.066666667,1007687502
1-00768-7504,0.066666667,1007687504
1-00769-7503,#DIV/0!,1007697503
1-00769-7505,1.266666667,1007697505
1-00769-7506,0.066666667,1007697506
1-00769-7508,0.066666667,1007697508
1-00770-0051,0.066666667,1007700051
1-00771-0046,0.066666667,1007710046
1-00773-0027,#DIV/0!,1007730027
1-00773-0056,#DIV/0!,1007730056
1-00773-7501,0.066666667,1007737501
1-00773-7502,0.066666667,1007737502
1-00774-7501,0.066666667,1007747501
1-00775-0017,#DIV/0!,1007750017
1-00778-7501,0.1,1007787501
1-00779-7501,0.1,1007797501
1-00780-7501,1.266666667,1007807501
1-00790-0028,#DIV/0!,1007900028
1-00792-0012,0.066666667,1007920012
1-00792-7503,0.066666667,1007927503
1-00792-7504,0.066666667,1007927504
1-00793-0001,0.066666667,1007930001
1-00793-7501,0.066666667,1007937501
1-00793-7502,0.066666667,1007937502
1-00793-7505,0.066666667,1007937505
1-00793-7506,0.066666667,1007937506
1-00793-7508,0.066666667,1007937508
1-00794-7501,0.066666667,1007947501
1-00794-7502,0.066666667,1007947502
1-00795-7501,0.066666667,1007957501
1-00796-0048,0.066666667,1007960048
1-00796-7501,0.066666667,1007967501
1-00796-7502,0.066666667,1007967502
1-00796-7503,0.066666667,1007967503
1-00796-7504,0.066666667,1007967504
1-00797-7501,0.066666667,1007977501
1-00797-7502,0.066666667,1007977502
1-00797-7503,0.066666667,1007977503
1-00797-7505,0.066666667,1007977505
1-00797-7507,0.2,1007977507
1-00798-7502,0.066666667,1007987502
1-00798-7503,0.066666667,1007987503
1-00798-7505,0.066666667,1007987505
1-00798-7506,0.066666667,1007987506
1-00799-7501,0.066666667,1007997501
1-00800-7501,0.066666667,1008007501
1-00800-7502,0.066666667,1008007502
1-00800-7504,0.066666667,1008007504
1-00801-7502,0.066666667,1008017502
1-00802-7501,0.1,1008027501
1-00802-7502,0.1,1008027502
1-00803-7501,0.1,1008037501
1-00803-7503,0.1,1008037503
1-00804-7502,0.1,1008047502
1-00805-7501,0.1,1008057501
1-00807-7502,#DIV/0!,1008077502
1-00814-7501,0.1,1008147501
1-00816-0007,0.066666667,1008160007
1-00816-0042,0.1,1008160042
1-00816-7501,0.1,1008167501
1-00816-7503,0.1,1008167503
1-00817-7501,0.1,1008177501
1-00819-7501,0.1,1008197501
1-00819-7502,0.1,1008197502
1-00819-7503,0.1,1008197503
1-00819-7504,0.1,1008197504
1-00820-7501,0.1,1008207501
1-00820-7503,0.1,1008207503
1-00820-7504,0.1,1008207504
1-00821-7502,0.1,1008217502
1-00821-7503,0.1,1008217503
1-00821-7504,0.1,1008217504
1-00821-7505,0.1,1008217505
1-00822-7503,0.1,1008227503
1-00822-7504,0.1,1008227504
1-00823-7502,0.1,1008237502
1-00823-7503,0.1,1008237503
1-00824-7501,#DIV/0!,1008247501
1-00827-0063,#DIV/0!,1008270063
1-00832-0066,#DIV/0!,1008320066
1-00833-7502,0.1,1008337502
1-00842-7501,0.1,1008427501
1-00842-7502,#DIV/0!,1008427502
1-00843-7501,0.1,1008437501
1-00843-7502,0.1,1008437502
1-00844-0008,0.066666667,1008440008
1-00844-7503,0.1,1008447503
1-00846-7502,0.1,1008467502
1-00848-7501,0.1,1008487501
1-00848-7503,0.1,1008487503
1-00848-7505,0.1,1008487505
1-00849-7501,0.066666667,1008497501
1-00849-7502,0.1,1008497502
1-00849-7503,0.1,1008497503
1-00849-7504,0.1,1008497504
1-00849-7505,0.1,1008497505
1-00849-7508,#DIV/0!,1008497508
1-00850-7503,0.1,1008507503
1-00850-7506,0.1,1008507506
1-00851-7501,0.066666667,1008517501
1-00851-7502,0.066666667,1008517502
1-00851-7504,0.066666667,1008517504
1-00851-7505,#DIV/0!,1008517505
1-00855-7501,0.066666667,1008557501
1-00856-7501,0.066666667,1008567501
